,S,Q/B,W/Br,M
41,"[1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 1.0]","[4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0]","[0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 3.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0]"
42,"[1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 1.0]","[4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0]","[0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 3.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0]"
43,"[1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 1.0]","[4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0]","[0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 5.0, 3.0, 4.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0]"
44,"['4', '4', '4', '4', '4', '1', '4', '4', '4', '4', '1', '4']","['1', '4', '4', '4', '4', '4', '4', '1', '4', '1', '1', '1', '4', '1', '1', '4', '1', '4', '4', '1', '4', '4', '1', '1', '1', '4', '4', '4', '4', '1', '1', '4', '4', '4', '4', '4', '1', '4', '4']","[0, '1', '4', '1', '5', '3', '1', '4', '4', '4', '5', '4', '1', '5', '3', '1', '5', '1', '1', '1', '1', '5', '1', '5', '1', '1', '1', '1', '4', '4', '4', '4', '4', '1', '4', '4', '5', '5', '1', '4', '3', '1', '3', '5', '4', '4', '3', '4', '4', '4', '3', '3']","['3', '4', '1', '3', '3', '4', '4', '1', '3', '4', '4', '1', '1', '5', '1', '4', '5', '1', '1', '5', '4', '1', '3', '5', '1', '5', '1', '3', '1', '2', '1', '5', '1', '1', '5', '1', '1', '2', '4', '1']"
45,"[4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0]","[0, 1.0, 3.0, 1.0, 4.0, 3.0, 1.0, 4.0, 3.0, 3.0, 5.0, 5.0, 1.0, 5.0, 3.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 3.0, 1.0, 3.0, 4.0, 5.0, 5.0, 1.0, 4.0, 3.0, 1.0, 3.0, 5.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 4.0, 4.0, 1.0, 3.0, 4.0, 4.0, 1.0, 1.0, 5.0, 1.0, 4.0, 5.0, 1.0, 1.0, 5.0, 4.0, 1.0, 3.0, 5.0, 1.0, 5.0, 1.0, 3.0, 1.0, 2.0, 1.0, 5.0, 1.0, 1.0, 5.0, 1.0, 1.0, 2.0, 4.0, 1.0]"
46,"[4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0]","[0, 1.0, 3.0, 1.0, 3.0, 3.0, 1.0, 4.0, 3.0, 3.0, 5.0, 5.0, 1.0, 5.0, 3.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 3.0, 3.0, 1.0, 3.0, 4.0, 5.0, 5.0, 1.0, 4.0, 3.0, 1.0, 2.0, 5.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0]","[3.0, 3.0, 1.0, 3.0, 3.0, 5.0, 4.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 1.0]"
47,"[4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0]","[0, 1.0, 3.0, 1.0, 4.0, 4.0, 1.0, 4.0, 3.0, 3.0, 5.0, 5.0, 1.0, 5.0, 3.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 3.0, 1.0, 3.0, 4.0, 5.0, 5.0, 1.0, 4.0, 3.0, 1.0, 2.0, 5.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0]","[3.0, 3.0, 1.0, 3.0, 3.0, 5.0, 4.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 1.0]"
48,"[4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0]","[0, 1.0, 3.0, 1.0, 5.0, 3.0, 1.0, 4.0, 4.0, 4.0, 5.0, 4.0, 1.0, 5.0, 3.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 3.0, 3.0, 5.0, 5.0, 1.0, 4.0, 3.0, 1.0, 2.0, 5.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 1.0, 2.0, 4.0, 1.0, 4.0, 5.0, 1.0, 1.0, 5.0, 3.0, 1.0, 3.0, 4.0, 1.0, 5.0, 1.0, 4.0, 2.0, 1.0, 2.0, 5.0, 2.0, 1.0, 5.0, 1.0, 1.0, 1.0, 4.0, 1.0]"
49,"[3.0, 4.0, 3.0, 4.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 1.0, 3.0]","[1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 4.0, 1.0, 4.0, 3.0, 1.0, 4.0, 3.0, 1.0, 1.0, 1.0, 4.0, 3.0, 4.0, 3.0, 1.0, 1.0, 3.0, 4.0, 3.0, 3.0, 3.0, 1.0, 3.0, 4.0]","[0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 4.0, 2.0, 2.0, 4.0, 5.0, 1.0, 4.0, 2.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0, 2.0, 5.0, 5.0, 1.0, 3.0, 2.0, 1.0, 2.0, 2.0, 3.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 5.0, 3.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 5.0, 1.0, 1.0, 2.0, 3.0, 1.0, 3.0, 5.0, 1.0, 5.0, 1.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 4.0, 1.0]"
50,"[3.0, 4.0, 3.0, 4.0, 3.0, 1.0, 4.0, 4.0, 4.0, 3.0, 1.0, 3.0]","[1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 4.0, 1.0, 4.0, 3.0, 1.0, 4.0, 3.0, 1.0, 1.0, 1.0, 4.0, 3.0, 4.0, 3.0, 1.0, 1.0, 3.0, 4.0, 3.0, 3.0, 3.0, 1.0, 3.0, 4.0]","[0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 4.0, 2.0, 2.0, 4.0, 5.0, 1.0, 4.0, 2.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 1.0, 2.0, 2.0, 5.0, 5.0, 1.0, 3.0, 2.0, 1.0, 2.0, 2.0, 3.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 5.0, 3.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 5.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 4.0, 1.0, 5.0, 1.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 4.0, 1.0]"
51,"[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0]","[0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 5.0, 2.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0, 5.0, 3.0, 4.0, 4.0, 1.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 1.0, 1.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 4.0, 3.0, 1.0, 1.0, 4.0, 1.0, 1.0, 2.0, 3.0, 1.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 5.0, 2.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0]"
52,"[4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0]","[0, 1.0, 3.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 5.0, 2.0, 1.0, 4.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 3.0, 4.0, 5.0, 1.0, 4.0, 4.0, 1.0, 2.0, 5.0, 3.0, 3.0, 2.0, 4.0, 4.0, 3.0, 2.0, 2.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 4.0, 4.0, 1.0, 1.0, 4.0, 2.0, 1.0, 1.0, 2.0, 1.0, 4.0, 4.0, 1.0, 1.0, 4.0, 2.0, 1.0, 3.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0]"
53,"[4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0]","[0, 1.0, 3.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 5.0, 4.0, 1.0, 4.0, 2.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 5.0, 5.0, 5.0, 1.0, 4.0, 4.0, 1.0, 2.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 3.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 1.0, 1.0, 5.0, 1.0, 4.0, 5.0, 1.0, 1.0, 5.0, 5.0, 1.0, 3.0, 5.0, 1.0, 5.0, 1.0, 4.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 4.0, 1.0]"
54,"[4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0, 1.0, 3.0, 1.0, 4.0, 4.0, 1.0, 4.0, 3.0, 3.0, 5.0, 4.0, 1.0, 4.0, 2.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 1.0, 5.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 3.0, 4.0, 1.0, 4.0, 5.0, 5.0, 5.0, 1.0, 4.0, 4.0, 1.0, 2.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 3.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 5.0, 4.0, 1.0, 3.0, 5.0, 3.0, 1.0, 1.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 3.0, 1.0, 4.0, 1.0, 3.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0]"
55,"[4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 1.0, 1.0, 1.0, 0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0]","[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 3.0, 5.0, 5.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 5.0, 1.0, 4.0, 5.0, 1.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0, 2.0, 3.0, 2.0, 2.0]","[3.0, 4.0, 1.0, 3.0, 3.0, 4.0, 4.0, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, 3.0, 1.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 4.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 3.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 4.0, 1.0]"
56,"[1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0, 4.0, 1.0, 4.0, 4.0, 1.0, 4.0, 4.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 1.0, 1.0, 1.0, 0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0, 4.0]","[0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 4.0, 2.0, 2.0, 3.0, 2.0, 1.0, 3.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 2.0, 2.0, 1.0, 2.0, 2.0, 3.0, 5.0, 1.0, 4.0, 2.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, 2.0]","[3.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 3.0, 2.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0]"
57,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
